"","","","Batting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pitching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fielding","","","","","","","","","","","","","","","","","","","","","","","","",""
"Number","Last","First","GP","PA","AB","AVG","OBP","OPS","SLG","H","1B","2B","3B","HR","RBI","R","BB","SO","K-L","HBP","SAC","SF","ROE","FC","SB","SB%","CS","PIK","QAB","QAB%","PA/BB","BB/K","C%","HHB","LD%","FB%","GB%","BABIP","BA/RISP","LOB","2OUTRBI","XBH","TB","PS","PS/PA","2S+3","2S+3%","6+","6+%","AB/HR","GIDP","GITP","CI","IP","GP","GS","BF","#P","W","L","SV","SVO","BS","SV%","H","R","ER","BB","SO","K-L","HBP","ERA","WHIP","LOB","BK","PIK","CS","SB","SB%","WP","BAA","MPHFB","MPHCT","MPHCB","MPHSL","MPHCH","MPHOS","P/IP","P/BF","<3%","LOO","1ST2OUT","123INN","<13","FIP","S%","FPS%","FPSO%","FPSW%","FPSH%","BB/INN","0BBINN","BBS","LOBB","LOBBS","SM%","K/BF","K/BB","WEAK%","HHB%","GO/AO","HR","LD%","FB%","GB%","BABIP","BA/RISP","FB","FBS","FBS%","FBSW%","FBSM%","CT","CTS","CTS%","CTSW%","CTSM%","CB","CBS","CBS%","CBSW%","CBSM%","SL","SLS","SLS%","SLSW%","SLSM%","CH","CHS","CHS%","CHSW%","CHSM%","OS","OSS","OSS%","OSSW%","OSSM%","TC","A","PO","FPCT","E","DP","TP","INN","PB","SB","SB-ATT","CS","CS%","PIK","CI","P","C","1B","2B","3B","SS","LF","CF","RF","SF","Total"
"2","Weeks","Daniel","0","0","0",".000",".000",".000",".000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0.00","0.0",".000","0.00","0","0.00","0.00","0.00",".000",".000","0","0","0","0","0",".000","0","0.00","0","0.00","0.0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0","-","0","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","3.0"
"6","Harris","Lanford","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","0.00","0","-","-","-","-","-","1","0","0","0","3","3.000","0","0.00","0","0.00","-","0","0","0","0.2","1","0","15","61","0","0","0","0","0","-","6","10","8","6","1","0","0","84.00","18.00","0","0","0","0","1","100.0","0",".750","N/A","N/A","N/A","N/A","N/A","N/A","91.5","4.067","33.33","0","0","0","0","23.89","40.98","40.00","33.33","16.67","50.00","9.000","0","4","0","0","6.56",".067",".167","37.50","62.50",".000","0","25.00","12.50","62.50",".750",".750","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","1","1","0","1.000","0","0","0","0.0","0","0","0-0","0","-","0","0","0.2","0.0","0.0","0.0","0.0","2.1","0.0","0.0","0.0","0.0","3.0"
"9","Enus","Nate","1","1","0","-","1.000","1.000","-","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","-","0","0","1","100.0","1.0",".000","-","0","-","-","-","-","-","0","0","0","0","6","6.000","0","0.00","1","100.0","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0",".000","0","0","0","0.0","0","0","0-0","0","0.00","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","Baizley","Cam","1","2","1",".000",".500",".500",".000","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","-","0","0","1","50.00","2.0","1.000","0.00","0","-","-","-","-","-","0","0","0","0","9","4.500","0","0.00","0","0.00","-","0","0","0","0.1","1","0","1","4","0","0","0","0","0","-","0","0","0","0","1","0","0",".000",".000","3","0","0","0","0","-","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","12.0","4.000","0.00","0","0","0","0","-3.310","75.00","0.00","-","-","-",".000","0","0","0","0","50.00","1.000","-","-","-","-","0","-","-","-","-",".000","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","1","0","1","1.000","0","0","0","0.0","0","0","0-0","0","-","0","0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","2.2","0.0","0.0","3.0"
"13","Reeves","Jhett","1","2","1",".000",".500",".500",".000","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","-","0","0","1","50.00","2.0","1.000","0.00","0","-","-","-","-",".000","2","0","0","0","7","3.500","0","0.00","0","0.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","1","0","0",".000","1","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","3.0"
"15","Searcy","Wells","1","2","2",".000",".000",".000",".000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","50.00","0","0.00","0.00","100.0",".000",".000","3","0","0","0","5","2.500","0","0.00","0","0.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","2","1","1","1.000","0","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0"
"18","Jackson","Tripp","1","2","2",".000",".000",".000",".000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-","0","0","1","50.00","-",".000","50.00","0","0.00","0.00","100.0",".000",".000","4","0","0","0","11","5.500","0","0.00","1","50.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","4","0","3",".750","1","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0"
"21","Willis","Ian","1","1","1","1.000","1.000","2.000","1.000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","100.0","0","0.00","100.0","0.00","1.000","-","0","0","0","1","3","3.000","0","0.00","0","0.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","1","0","1","1.000","0","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","3.0"
