"","","","Batting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pitching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fielding","","","","","","","","","","","","","","","","","","","","","","","","",""
"Number","Last","First","GP","PA","AB","AVG","OBP","OPS","SLG","H","1B","2B","3B","HR","RBI","R","BB","SO","K-L","HBP","SAC","SF","ROE","FC","SB","SB%","CS","PIK","QAB","QAB%","PA/BB","BB/K","C%","HHB","LD%","FB%","GB%","BABIP","BA/RISP","LOB","2OUTRBI","XBH","TB","PS","PS/PA","2S+3","2S+3%","6+","6+%","AB/HR","GIDP","GITP","CI","IP","GP","GS","BF","#P","W","L","SV","SVO","BS","SV%","H","R","ER","BB","SO","K-L","HBP","ERA","WHIP","LOB","BK","PIK","CS","SB","SB%","WP","BAA","MPHFB","MPHCT","MPHCB","MPHSL","MPHCH","MPHOS","P/IP","P/BF","<3%","LOO","1ST2OUT","123INN","<13","FIP","S%","FPS%","FPSO%","FPSW%","FPSH%","BB/INN","0BBINN","BBS","LOBB","LOBBS","SM%","K/BF","K/BB","WEAK%","HHB%","GO/AO","HR","LD%","FB%","GB%","BABIP","BA/RISP","FB","FBS","FBS%","FBSW%","FBSM%","CT","CTS","CTS%","CTSW%","CTSM%","CB","CBS","CBS%","CBSW%","CBSM%","SL","SLS","SLS%","SLSW%","SLSM%","CH","CHS","CHS%","CHSW%","CHSM%","OS","OSS","OSS%","OSSW%","OSSM%","TC","A","PO","FPCT","E","DP","TP","INN","PB","SB","SB-ATT","CS","CS%","PIK","CI","P","C","1B","2B","3B","SS","LF","CF","RF","SF","Total"
"2","Weeks","Daniel","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","100.0","0","0.00","100.0","0.00",".000","-","0","0","0","0","2","2.000","0","0.00","0","0.00","-","0","0","0","0.0","1","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","-","-","0","0","0","0","0","-","0","-","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","0","0","0","0","-","-","-","-","-","-","-","0","0","0","0","-","-","-","-","-","-","0","-","-","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","0","-","0","0","0","2.1","5","5","5-5","0","0.00","0","0","0.0","2.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1"
"6","Harris","Lanford","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","100.0","0","0.00","0.00","100.0",".000","-","0","0","0","0","2","2.000","0","0.00","0","0.00","-","0","0","0","0.1","1","1","7","30","0","0","0","0","0","-","3","6","3","2","0","0","0","63.00","15.00","0","0","0","0","4","100.0","0",".600","N/A","N/A","N/A","N/A","N/A","N/A","90.0","4.286","28.57","0","0","0","0","19.16","40.00","28.57","0.00","0.00","100.0","6.000","0","2","0","0","3.33",".000",".000","40.00","60.00",".000","0","40.00","20.00","40.00",".600",".667","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","1","0","1","1.000","0","0","0","0.0","0","0","0-0","0","-","0","0","0.1","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1"
"9","Grant","Brady","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","0.00","0","-","-","-","-","-","0","0","0","0","4","4.000","0","0.00","0","0.00","-","0","0","0","0.2","1","0","6","22","0","0","0","0","0","-","0","2","0","3","0","0","0",".000","4.500","0","0","0","0","0","-","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","33.0","3.667","16.67","0","0","0","0","15.17","27.27","50.00","66.67","33.33","0.00","4.500","0","2","0","0","0.00",".000",".000","100.0","0.00",".000","0","0.00","100.0","0.00",".000",".000","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","2","0","1",".500","1","0","0","0.0","0","0","0-0","0","-","0","0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","0.0","2.1"
"10","Baizley","Cam","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","0.00","0","-","-","-","-","-","0","0","0","0","3","3.000","0","0.00","0","0.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","3","0","2",".667","1","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1","0.0","0.0","2.1"
"11","Hall","Dylan","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","100.0","0","0.00","0.00","100.0",".000","-","0","0","0","0","4","4.000","0","0.00","0","0.00","-","0","0","0","0.2","1","0","10","26","0","0","0","0","0","-","3","6","5","1","0","0","4","52.50","6.000","2","0","0","0","1","100.0","0",".600","N/A","N/A","N/A","N/A","N/A","N/A","39.0","2.600","30.00","0","0","0","0","23.15","38.46","30.00","0.00","0.00","66.67","1.500","0","1","0","0","3.85",".000",".000","40.00","60.00",".000","0","20.00","40.00","40.00",".600",".600","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","3","0","1",".333","2","0","0","0.0","0","0","0-0","0","-","0","0","0.2","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.2","0.0","2.1"
"13","Reeves","Jhett","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-","0","0","1","100.0","-",".000","0.00","0","-","-","-","-","-","0","0","0","0","7","7.000","1","100.0","1","100.0","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0","-","0","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","0.0","0.1","0.2","0.0","1.1","0.0","0.0","0.0","2.1"
"15","Searcy","Wells","0","0","0",".000",".000",".000",".000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0.00","0.0",".000","0.00","0","0.00","0.00","0.00",".000",".000","0","0","0","0","0",".000","0","0.00","0","0.00","0.0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","1","0","1","1.000","0","0","0","0.0","0","0","0-0","0","-","0","0","0.0","0.0","2.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1"
"18","Jackson","Tripp","1","1","1",".000",".000",".000",".000","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","-","0","0","0","0.00","-",".000","0.00","0","-","-","-","-","-","0","0","0","0","4","4.000","0","0.00","0","0.00","-","0","0","0","0.2","1","0","6","19","0","0","0","0","0","-","0","1","0","2","0","0","0",".000","3.000","2","0","0","0","0","-","0",".000","N/A","N/A","N/A","N/A","N/A","N/A","28.5","3.167","50.00","1","0","0","0","11.18","36.84","50.00","100.0","0.00","0.00","3.000","0","0","0","0","0.00",".000",".000","75.00","25.00",".000","0","25.00","25.00","50.00",".000",".000","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","2","0","1",".500","1","0","0","0.0","0","0","0-0","0","-","0","0","0.2","0.0","0.0","0.0","1.2","0.0","0.0","0.0","0.0","0.0","2.1"
